Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer
The Sky Crawlers: Innocent Aces,Wii,2008,Simulation,Namco Bandai Games,0.08,0.02,0.01,0.01,0.12,Access Games
Battle Arena Toshinden Remix,SAT,1994,Fighting,Sega,0.0,0.0,0.12,0.0,0.12,Unknown
nail'd,PS3,2010,Racing,Deep Silver,0.08,0.02,0.0,0.02,0.12,Techland
Legends of Wrestling II,GC,2002,Fighting,Acclaim Entertainment,0.09,0.02,0.0,0.0,0.12,Acclaim
Lost Magic,DS,2006,Role-Playing,Ubisoft,0.09,0.0,0.02,0.01,0.12,Taito Corporation
A.C.E.: Another Century's Episode Portable,PSP,2011,Simulation,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,Unknown
Jaws: Ultimate Predator,3DS,2011,Action,Majesco Entertainment,0.11,0.0,0.0,0.01,0.12,"MicroProse, n-Space"
Marvel Avengers: Battle for Earth,WiiU,2012,Action,Ubisoft,0.06,0.04,0.0,0.01,0.12,Ubisoft Quebec
Jikkyou Powerful Pro Yakyuu 9,GC,2002,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.12,Unknown
Rock Band: Metal Track Pack,PS3,2009,Misc,MTV Games,0.11,0.0,0.0,0.01,0.12,Harmonix Music Systems
Alice: Madness Returns,PC,2011,Adventure,Electronic Arts,0.0,0.1,0.0,0.02,0.12,Spicy Horse
Barbie as The Island Princess,PS2,2007,Adventure,Activision,0.06,0.04,0.0,0.02,0.12,"Human Soft, Ivolgamus"
Crime Killer,PS,1998,Racing,Interplay,0.07,0.04,0.0,0.01,0.12,Unknown
Petz Puppyz & Kittenz,DS,2011,Misc,Ubisoft,0.11,0.0,0.0,0.01,0.12,Unknown
Backyard Wrestling 2: There Goes the Neighborhood,XB,2004,Fighting,Eidos Interactive,0.09,0.03,0.0,0.0,0.12,Paradox Development
Raiden IV,X360,2008,Shooter,Moss,0.1,0.0,0.01,0.01,0.12,Moss
MX vs. ATV Untamed,DS,2007,Racing,THQ,0.11,0.0,0.0,0.01,0.12,Rainbow Studios
Tom Clancy's Splinter Cell: Blacklist,WiiU,2013,Action,Ubisoft,0.04,0.07,0.0,0.01,0.12,Ubisoft Toronto
SD Gundam G Generation-F.I.F,PS,2001,Strategy,Namco Bandai Games,0.0,0.0,0.11,0.01,0.12,Unknown
