Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Score,User_Count,Developer
Injustice: Gods Among Us,WiiU,2013,Fighting,Warner Bros. Interactive Entertainment,0.09,0.08,0.0,0.02,0.19,7.9,112.0,NetherRealm Studios
Tomb Raider: Underworld,DS,2008,Action,Eidos Interactive,0.15,0.02,0.0,0.01,0.19,8.4,10.0,Santa Cruz Games
Death Jr.,PSP,2005,Platform,Konami Digital Entertainment,0.17,0.0,0.0,0.01,0.19,7.3,21.0,Backbone Entertainment
Hulk,GC,2003,Action,Universal Interactive,0.15,0.04,0.0,0.01,0.19,7.4,7.0,Radical Entertainment
Phantasy Star Universe,PS2,2006,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19,8.5,23.0,Sonic Team
Gungrave,PS2,2002,Shooter,Activision,0.09,0.07,0.0,0.02,0.19,8.6,16.0,Seta Corporation
Transworld Surf,PS2,2002,Sports,Atari,0.09,0.07,0.0,0.02,0.19,8.5,6.0,Rockstar San Diego
Tenchu: Fatal Shadows,PS2,2004,Action,Sega,0.09,0.07,0.0,0.02,0.19,8.0,24.0,K2 LLC
50 Cent: Blood on the Sand,PS3,2009,Shooter,THQ,0.1,0.06,0.01,0.03,0.19,7.2,57.0,Swordfish Studios
Metro: Last Light,PC,2013,Action,Deep Silver,0.06,0.11,0.0,0.02,0.19,8.6,2654.0,4A Games
Evolve,PC,2015,Shooter,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19,4.3,969.0,Turtle Rock Studios
FIFA 14,PSP,2013,Sports,Electronic Arts,0.0,0.15,0.0,0.04,0.19,3.4,23.0,EA Canada
Resident Evil: Revelations,WiiU,2013,Action,Capcom,0.07,0.07,0.03,0.01,0.19,7.5,146.0,Capcom
The Legend of Spyro: A New Beginning,GC,2006,Platform,Vivendi Games,0.15,0.04,0.0,0.01,0.19,7.3,11.0,Krome Studios
Armored Core: For Answer,PS3,2008,Simulation,Ubisoft,0.06,0.02,0.1,0.01,0.19,7.6,31.0,From Software
Harry Potter and the Prisoner of Azkaban,XB,2004,Action,Electronic Arts,0.14,0.04,0.0,0.01,0.19,8.8,10.0,EA Games
Street Fighter X Tekken,PSV,2012,Fighting,Capcom,0.1,0.04,0.01,0.03,0.19,7.5,66.0,Capcom
The Legend of Heroes: Trails of Cold Steel II,PSV,2014,Role-Playing,Nippon Ichi Software,0.02,0.02,0.13,0.01,0.19,7.3,73.0,Falcom
Rise of the Kasai,PS2,2005,Action,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.19,8.0,5.0,BottleRocket Entertainment
Singstar: Ultimate Party,PS4,2014,Misc,Sony Computer Entertainment Europe,0.0,0.16,0.0,0.03,0.19,4.1,18.0,SCEE
Risen,X360,2009,Role-Playing,Deep Silver,0.07,0.11,0.0,0.01,0.19,6.4,77.0,Piranha Bytes
Nostalgia,DS,2008,Role-Playing,Tecmo Koei,0.16,0.0,0.02,0.01,0.19,7.6,19.0,Matrix Software
Dynasty Warriors Gundam,X360,2007,Action,Namco Bandai Games,0.15,0.01,0.02,0.01,0.19,6.8,20.0,"Koei, Omega Force"
Chibi-Robo! Park Patrol,DS,2007,Adventure,Unknown,0.0,0.0,0.19,0.0,0.19,7.5,13.0,Skip Ltd.
Jurassic: The Hunted,PS3,2009,Shooter,Activision,0.17,0.0,0.0,0.02,0.19,4.5,4.0,Activision
Tom Clancy's Splinter Cell: Blacklist,PC,2013,Action,Ubisoft,0.04,0.13,0.0,0.01,0.19,7.4,754.0,Ubisoft Toronto
