Name,Year_of_Release,Platform,Genre,Publisher,Developer,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,is_multiplatform
Super Mario Land 2: 6 Golden Coins,1992,GB,Adventure,Nintendo,,6.16,2.04,2.69,0.29,11.18,False
Batman: Arkham City,2011,"PC, PS3, WiiU, X360",Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,6.0200000000000005,3.5800000000000005,0.15,1.35,11.1,True
Gran Turismo,1997,PS,Racing,Sony Computer Entertainment,Polyphony Digital,4.02,3.87,2.54,0.52,10.95,False
Diablo III,2012,"PC, PS3, PS4, X360, XOne",Role-Playing,Activision,Blizzard Entertainment,4.930000000000001,4.5200000000000005,0.21,1.29,10.94,True
Need for Speed Underground 2,2004,"GBA, GC, PC, PS2, XB",Racing,Electronic Arts,EA Canada,5.1,4.39,0.09,1.2400000000000002,10.82,True
Super Mario 3D Land,2011,3DS,Platform,Nintendo,Nintendo,4.89,3.0,2.14,0.78,10.81,False
FIFA Soccer 10,2009,"DS, PC, PS2, PS3, PSP, Wii, X360",Sports,Electronic Arts,EA Sports,1.94,6.2,0.07,2.4799999999999995,10.700000000000001,True
Gran Turismo 5,2010,PS3,Racing,Sony Computer Entertainment,Polyphony Digital,2.96,4.82,0.81,2.11,10.7,False
The Last of Us,2013,"PS3, PS4",Action,Sony Computer Entertainment,Naughty Dog,4.29,4.18,0.35000000000000003,1.76,10.58,True
Super Mario All-Stars,1993,SNES,Platform,Nintendo,,5.99,2.15,2.12,0.29,10.55,False
Pokemon FireRed/Pokemon LeafGreen,2004,GBA,Role-Playing,Nintendo,,4.34,2.65,3.15,0.35,10.49,False
Need for Speed Underground,2003,"GBA, GC, PC, PS2, XB",Racing,Electronic Arts,Electronic Arts,5.260000000000001,3.98,0.09,1.1400000000000001,10.46,True
Super Mario 64,2004,DS,Platform,Nintendo,,5.01,3.07,1.25,0.97,10.3,False
Dr. Mario,1989,"GB, NES",Puzzle,Nintendo,,4.800000000000001,1.56,3.52,0.30000000000000004,10.19,True
Star Wars: The Force Unleashed,2008,"DS, PS2, PS3, PSP, Wii, X360",Action,LucasArts,Krome Studios,5.28,2.8600000000000003,0.01,1.87,10.05,True
Guitar Hero: World Tour,2008,"PC, PS2, PS3, Wii, X360",Misc,Activision,Neversoft Entertainment,6.199999999999999,2.1999999999999993,0.0,1.6400000000000001,10.03,True
New Super Mario Bros. 2,2012,3DS,Platform,Nintendo,Nintendo,3.66,3.14,2.47,0.63,9.9,False
Mario Kart 64,1996,N64,Racing,Nintendo,,5.55,1.94,2.23,0.15,9.87,False
Halo: Reach,2010,X360,Shooter,Microsoft Game Studios,Bungie,7.04,1.95,0.08,0.79,9.86,False
Fallout 3,2008,"PC, PS3, X360",Role-Playing,Bethesda Softworks,Bethesda Game Studios,5.569999999999999,3.0,0.16,1.12,9.85,True
Final Fantasy VII,1997,PS,Role-Playing,Sony Computer Entertainment,SquareSoft,3.01,2.47,3.28,0.96,9.72,False
Halo 4,2012,X360,Shooter,Microsoft Game Studios,343 Industries,6.65,2.28,0.04,0.74,9.71,False
Zumba Fitness,2010,"PS3, Wii, X360",Sports,505 Games,"Pipeworks Software, Inc.",5.470000000000001,3.25,0.0,0.92,9.65,True
Gran Turismo 2,1999,PS,Racing,Sony Computer Entertainment,Polyphony Digital,3.88,3.42,1.69,0.5,9.49,False
FIFA Soccer 08,2007,"DS, PC, PS2, PS3, PSP, Wii, X360",Sports,Electronic Arts,EA Canada,1.9600000000000002,3.9599999999999995,0.04,3.52,9.479999999999999,True
LEGO Marvel Super Heroes,2013,"3DS, DS, PC, PS3, PS4, PSV, WiiU, X360, XOne",Action,Warner Bros. Interactive Entertainment,TT Games,4.31,3.91,0.08,1.11,9.44,True
Just Dance 2,2010,Wii,Misc,Ubisoft,Ubisoft,5.8,2.85,0.01,0.78,9.44,False
Donkey Kong Country,1994,SNES,Platform,Nintendo,,4.36,1.71,3.0,0.23,9.3,False
Watch Dogs,2014,"PC, PS3, PS4, WiiU, X360, XOne",Action,Ubisoft,Ubisoft Montreal,3.8,3.96,0.22000000000000003,1.2000000000000002,9.19,True
Madden NFL 07,2006,"DS, GBA, GC, PS2, PS3, Wii, X360, XB",Sports,Electronic Arts,EA Tiburon,7.890000000000001,0.41000000000000003,0.03,0.89,9.18,True
Animal Crossing: New Leaf,2012,3DS,Simulation,Nintendo,Nintendo,2.03,2.36,4.39,0.39,9.16,False
Assassin's Creed: Revelations,2011,"PC, PS3, X360",Action,Ubisoft,Ubisoft Montreal,3.8000000000000003,3.9599999999999995,0.14,1.25,9.15,True
LEGO Batman: The Videogame,2008,"DS, PC, PS2, PS3, X360",Action,Warner Bros. Interactive Entertainment,Traveller's Tales,5.249999999999999,2.48,0.0,1.33,9.05,True
Pac-Man,1982,"2600, NES",Puzzle,Atari,,7.550000000000001,0.53,0.85,0.1,9.03,True
Medal of Honor: Frontline,2002,"GC, PS2, XB",Shooter,Electronic Arts,EA LA,4.390000000000001,3.3000000000000003,0.17,1.07,8.91,True
Mario Party DS,2007,DS,Misc,Nintendo,Hudson Soft,4.4,1.85,1.98,0.68,8.91,False
Super Mario Kart,1992,SNES,Racing,Nintendo,,3.54,1.24,3.81,0.18,8.76,False
The Legend of Zelda: Twilight Princess,2006,"GC, Wii",Action,Nintendo,Nintendo,4.890000000000001,2.5,0.64,0.7200000000000001,8.74,True
Just Dance 4,2012,"PS3, Wii, WiiU, X360",Misc,Ubisoft,Ubisoft,5.42,2.59,0.0,0.73,8.739999999999998,True
Resident Evil 5,2009,"PC, PS3, X360",Action,Capcom,Capcom,4.08,2.38,1.2000000000000002,0.99,8.66,True
FIFA Soccer 09,2008,"DS, PC, PS2, PS3, PSP, X360",Sports,Electronic Arts,EA Canada,1.7000000000000002,4.02,0.08,2.8600000000000003,8.659999999999998,True
Halo 2,2004,XB,Shooter,Microsoft Game Studios,Bungie Software,6.82,1.53,0.05,0.08,8.49,False
Far Cry 4,2014,"PC, PS3, PS4, X360, XOne",Shooter,Ubisoft,Ubisoft Montreal,2.87,4.36,0.19,1.08,8.49,True
Tony Hawk's Pro Skater,1999,"GB, N64, PS",Sports,Activision,Neversoft Entertainment,6.0,2.1599999999999997,0.03,0.28,8.459999999999999,True
Madden NFL 06,2005,"DS, GBA, GC, PS2, PSP, XB",Sports,Electronic Arts,EA Sports,7.140000000000001,0.46,0.01,0.8300000000000001,8.44,True
Spider-Man: The Movie,2002,"GBA, GC, PS2, XB",Action,Activision,Treyarch,5.5600000000000005,2.41,0.05,0.37,8.4,True
Wii Party,2010,Wii,Misc,Nintendo,Nd Cube,1.75,3.47,2.49,0.67,8.38,False
Fallout: New Vegas,2010,"PC, PS3, X360",Role-Playing,Bethesda Softworks,Obsidian Entertainment,4.77,2.5100000000000002,0.14,0.93,8.33,True
Donkey Kong Country Returns,2010,"3DS, Wii",Platform,Nintendo,Retro Studios,3.91,2.41,1.44,0.5900000000000001,8.33,True
LEGO Harry Potter: Years 1-4,2010,"DS, PC, PS3, PSP, Wii, X360",Action,Warner Bros. Interactive Entertainment,Traveller's Tales,4.01,3.2999999999999994,0.0,0.97,8.28,True
Mario Party 8,2007,Wii,Misc,Nintendo,Hudson,3.74,2.24,1.58,0.7,8.27,False
Madden NFL 08,2007,"DS, GC, PS2, PS3, PSP, Wii, X360, XB",Sports,Electronic Arts,EA Tiburon,7.119999999999999,0.21000000000000002,0.0,0.78,8.11,True
GoldenEye 007,1997,N64,Shooter,Nintendo,,5.8,2.01,0.13,0.15,8.09,False
Pokemon Black 2/Pokemon White 2,2012,DS,Role-Playing,Nintendo,,2.79,1.72,3.14,0.41,8.07,False
Final Fantasy X,2001,PS2,Role-Playing,Sony Computer Entertainment,SquareSoft,2.91,2.07,2.73,0.33,8.05,False
Need for Speed: Most Wanted,2005,"DS, GBA, GC, PC, PS2, X360, XB",Racing,Electronic Arts,EA Canada,4.44,2.7999999999999994,0.1,0.7000000000000001,8.040000000000001,True
Batman: Arkham Asylum,2009,"PC, PS3, X360",Action,Eidos Interactive,Rocksteady Studios,4.44,2.54,0.09000000000000001,0.97,8.030000000000001,True
The Sims 3,2009,PC,Simulation,Electronic Arts,The Sims Studio,0.99,6.42,0.0,0.6,8.01,False
Assassin's Creed: Unity,2014,"PC, PS4, XOne",Action,Ubisoft,"Ubisoft, Ubisoft Montreal",3.64,3.3,0.08,0.99,8.01,True
NBA 2K16,2015,"PC, PS3, PS4, X360, XOne",Sports,Take-Two Interactive,Visual Concepts,5.710000000000001,1.04,0.06,1.1700000000000002,8.0,True
Mario & Sonic at the Olympic Winter Games,2009,"DS, Wii",Sports,Sega,,3.08,3.58,0.49,0.85,7.99,True
Final Fantasy VIII,1999,PS,Role-Playing,SquareSoft,SquareSoft,2.28,1.72,3.63,0.23,7.86,False
Need for Speed: ProStreet,2007,"DS, PC, PS2, PS3, Wii, X360",Racing,Electronic Arts,EA Black Box,3.1,2.2,0.09,2.3899999999999997,7.76,True
The Elder Scrolls IV: Oblivion,2006,"PC, PS3, X360",Role-Playing,Take-Two Interactive,Bethesda Softworks,4.52,2.08,0.27,0.8700000000000001,7.73,True
Pokémon Platinum Version,2008,DS,Role-Playing,Nintendo,Game Freak,2.76,1.72,2.69,0.54,7.72,False
Grand Theft Auto: Liberty City Stories,2005,PSP,Action,Take-Two Interactive,Rockstar Leeds,2.9,2.81,0.24,1.73,7.69,False
Harry Potter and the Chamber of Secrets,2002,"GBA, GC, PC, PS, PS2, XB",Action,Electronic Arts,Eurocom Entertainment Software,3.6599999999999997,3.18,0.11,0.68,7.64,True
The Legend of Zelda: Ocarina of Time,1998,N64,Action,Nintendo,,4.1,1.89,1.45,0.16,7.6,False
Madden NFL 2005,2004,"DS, GBA, GC, PS2, XB",Sports,Electronic Arts,EA Tiburon,6.8500000000000005,0.53,0.01,0.21,7.6,True
Crash Bandicoot 2: Cortex Strikes Back,1997,PS,Platform,Sony Computer Entertainment,,3.78,2.17,1.31,0.31,7.58,False
Madden NFL 10,2009,"PS2, PS3, PSP, Wii, X360",Sports,Electronic Arts,EA Tiburon,6.55,0.34,0.0,0.67,7.56,True
Tomb Raider II,1997,"PC, PS",Action,Eidos Interactive,Core Design Ltd.,3.21,3.71,0.2,0.41000000000000003,7.53,True
Super Mario Galaxy 2,2010,Wii,Platform,Nintendo,Nintendo EAD Tokyo,3.56,2.35,0.98,0.62,7.51,False
Final Fantasy XIII,2009,"PS3, X360",Role-Playing,Square Enix,Square Enix,3.02,1.88,1.8800000000000001,0.72,7.49,True
Super Mario Bros. 2,1988,NES,Platform,Nintendo,,5.39,1.18,0.7,0.19,7.46,False
Madden NFL 16,2015,"PS3, PS4, X360, XOne",Sports,Electronic Arts,EA Sports,5.84,0.46,0.0,1.1,7.41,True
WWE SmackDown vs Raw 2008,2007,"DS, PS2, PS3, PSP, Wii, X360",Fighting,THQ,Yuke's,3.4,1.8399999999999999,0.02,2.1399999999999997,7.39,True
Guitar Hero II,2006,"PS2, X360",Misc,Activision,Harmonix Music Systems,5.82,0.65,0.0,0.8500000000000001,7.32,True
LEGO Star Wars II: The Original Trilogy,2006,"DS, GBA, GC, PC, PS2, PSP, X360, XB",Action,LucasArts,Traveller's Tales,5.080000000000001,1.52,0.01,0.69,7.3100000000000005,True
Far Cry 3,2012,"PC, PS3, X360",Shooter,Ubisoft,Ubisoft Montreal,2.48,3.64,0.12000000000000001,1.07,7.31,True
Madden NFL 15,2014,"PS3, PS4, X360, XOne",Sports,Electronic Arts,EA Sports,5.7,0.51,0.0,1.05,7.260000000000001,True
LEGO Star Wars: The Video Game,2005,"GBA, GC, PC, PS2, XB",Action,Eidos Interactive,,4.720000000000001,2.01,0.01,0.5199999999999999,7.259999999999999,True
LEGO Star Wars III: The Clone Wars,2011,"3DS, DS, PC, PS3, PSP, Wii, X360",Action,LucasArts,Traveller's Tales,3.83,2.6599999999999997,0.0,0.77,7.24,True
Street Fighter IV,2009,"PC, PS3, X360",Fighting,Capcom,Capcom,3.9199999999999995,1.79,0.73,0.8,7.2299999999999995,True
Harry Potter and the Sorcerer's Stone,2001,"GB, GBA, PC, PS",Action,Electronic Arts,Argonaut Games,3.19,3.3200000000000003,0.32,0.38000000000000006,7.21,True
Just Dance,2009,Wii,Misc,Ubisoft,Ubisoft Paris,3.48,2.99,0.0,0.73,7.2,False
Tekken 3,1998,PS,Fighting,Sony Computer Entertainment,Namco,3.27,2.22,1.4,0.29,7.16,False
Pokemon Sun/Moon,2016,3DS,Role-Playing,Nintendo,,2.98,1.45,2.26,0.45,7.14,False
Battlefield: Bad Company 2,2010,"PC, PS3, X360",Shooter,Electronic Arts,EA DICE,3.62,2.6400000000000006,0.12,0.76,7.14,True
NBA 2K15,2014,"PS3, PS4, X360, XOne",Sports,Take-Two Interactive,Visual Concepts,5.06,1.04,0.03,1.02,7.14,True
Crash Bandicoot 3: Warped,1998,PS,Platform,Sony Computer Entertainment,Naughty Dog,3.68,1.75,1.42,0.28,7.13,False
Madden NFL 09,2008,"DS, PS2, PS3, PSP, X360, XB",Sports,Electronic Arts,EA Tiburon,6.07,0.3,0.0,0.74,7.11,True
Mario Kart 8,2014,WiiU,Racing,Nintendo,Nintendo,3.15,2.15,1.28,0.51,7.09,False
Super Smash Bros. Melee,2001,GC,Fighting,Nintendo,HAL Labs,4.41,1.04,1.39,0.22,7.07,False
The Simpsons: Hit & Run,2003,"GC, PS2, XB",Racing,Vivendi Games,,3.1999999999999997,2.97,0.0,0.8900000000000001,7.040000000000001,True
Call of Duty: Infinite Warfare,2016,"PC, PS4, XOne",Shooter,Activision,Infinity Ward,3.1100000000000003,2.8200000000000003,0.15,0.94,7.02,True
The Simpsons Game,2007,"DS, PS2, PS3, PSP, Wii, X360",Action,Electronic Arts,"Electronic Arts, Rebellion",2.52,2.55,0.0,1.97,7.01,True
NBA 2K14,2013,"PS3, PS4, X360, XOne",Sports,Take-Two Interactive,Visual Concepts,5.13,0.92,0.05,0.87,6.99,True
Mario Kart: Double Dash!!,2003,GC,Racing,Nintendo,,4.12,1.77,0.87,0.19,6.95,False
Spider-Man 2,2004,"DS, GBA, GC, PS2, XB",Action,Activision,Treyarch,4.39,1.93,0.05,0.55,6.92,True
Assassin's Creed: Brotherhood,2010,"PC, PS3, X360",Action,Ubisoft,Ubisoft Montreal,4.870000000000001,1.27,0.14,0.63,6.9,True
Tony Hawk's Pro Skater 3,2001,"GC, PS, PS2",Sports,Activision,Neversoft Entertainment,4.39,1.95,0.03,0.55,6.9,True
PES 2009: Pro Evolution Soccer,2008,"PS2, PS3, PSP, Wii, X360",Sports,Konami Digital Entertainment,,0.5,2.75,1.0,2.619999999999999,6.859999999999999,True
Need For Speed: Undercover,2008,"DS, PC, PS2, PS3, PSP, Wii, X360",Racing,Electronic Arts,EA Vancouver,2.48,2.4999999999999996,0.12,1.7800000000000002,6.839999999999999,True
Crash Bandicoot,1996,PS,Platform,Sony Computer Entertainment,,3.23,2.35,0.94,0.3,6.82,False
Cars,2006,"DS, GBA, GC, PS2, PSP, Wii, X360, XB",Racing,THQ,Rainbow Studios,5.3100000000000005,0.9299999999999999,0.0,0.5800000000000001,6.8100000000000005,True
Gears of War 2,2008,X360,Shooter,Microsoft Game Studios,Epic Games,4.15,1.9,0.06,0.64,6.75,False
Uncharted 3: Drake's Deception,2011,PS3,Action,Sony Computer Entertainment,Naughty Dog,2.77,2.75,0.19,1.03,6.74,False
Medal of Honor: Rising Sun,2003,"GC, PS2, XB",Shooter,Electronic Arts,EA LA,3.0700000000000003,2.6799999999999997,0.13,0.8600000000000001,6.72,True
Battlefield 1,2016,"PC, PS4, XOne",Shooter,Electronic Arts,EA DICE,2.4899999999999998,3.16,0.21,0.8400000000000001,6.71,True
Tomb Raider (2013),2013,"PC, PS3, PS4, X360, XOne",Action,Square Enix,"Crystal Dynamics, Nixxes Software",2.34,3.21,0.15,0.9600000000000001,6.669999999999999,True
Uncharted 2: Among Thieves,2009,PS3,Action,Sony Computer Entertainment,Naughty Dog,3.27,2.2,0.21,0.98,6.66,False
The Lord of the Rings: The Two Towers,2002,"GBA, GC, PS2, XB",Action,Electronic Arts,Stormfront Studios,3.33,2.4999999999999996,0.08,0.75,6.65,True
Star Wars: Battlefront II,2005,"PC, PS2, PSP, XB",Shooter,LucasArts,Pandemic Studios,4.47,1.5900000000000003,0.04,0.55,6.64,True
Big Brain Academy,2005,DS,Misc,Nintendo,Nintendo,1.66,2.75,1.6,0.62,6.62,False
Tony Hawk's Pro Skater 2,2000,"GBA, N64, PS",Sports,Activision,Neversoft Entertainment,4.49,1.88,0.02,0.23,6.619999999999999,True
The Legend of Zelda,1986,NES,Action,Nintendo,,3.74,0.93,1.69,0.14,6.51,False
