Name,Year_of_Release,Platform,Genre,Publisher,Developer,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,is_multiplatform
Amplitude,2003,PS2,Misc,Sony Computer Entertainment,Harmonix Music Systems,0.09,0.07,0.0,0.02,0.18,False
Summon Night 4,2006,PS2,Role-Playing,Banpresto,,0.0,0.0,0.18,0.0,0.18,False
Alter Echo,2003,"PS2, XB",Shooter,THQ,Outrage Games,0.1,0.060000000000000005,0.0,0.02,0.18,True
Hidden Mysteries: Vampire Secrets,2010,DS,Adventure,Astragon,Gunnar Games,0.06,0.11,0.0,0.02,0.18,False
F1 Challenge,1994,SAT,Racing,Sega,,0.0,0.0,0.18,0.0,0.18,False
Full Auto 2: Battlelines,2006,PS3,Racing,Sega,Pseudo Interactive,0.14,0.02,0.0,0.02,0.18,False
AirForce Delta Storm,2001,XB,Shooter,Konami Digital Entertainment,KCE Studios,0.14,0.04,0.0,0.01,0.18,False
Tokimeki Memorial: Taisen Pazurudama,1996,"PS, SAT",Puzzle,Konami Digital Entertainment,,0.0,0.0,0.16999999999999998,0.01,0.18,True
Armored Core: Last Raven,2005,PS2,Simulation,505 Games,From Software,0.05,0.04,0.08,0.01,0.18,False
Indiana Jones and the Emperor's Tomb,2003,XB,Action,LucasArts,Double Helix Games,0.14,0.04,0.0,0.01,0.18,False
Hatsune Miku and Future Stars: Project Mirai,2012,3DS,Misc,Sega,,0.0,0.0,0.18,0.0,0.18,False
Naruto Shippuden: Dragon Blade Chronicles,2009,Wii,Action,505 Games,"Eighting, Takara Tomy",0.11,0.01,0.05,0.01,0.18,False
Atari Anniversary Advance,2002,GBA,Misc,Atari,Digital Eclipse,0.13,0.05,0.0,0.0,0.18,False
Shiren the Wanderer 4 - God's Eye and the Demon's Navel,2010,"DS, PSP",Role-Playing,Spike,,0.0,0.0,0.17,0.0,0.17,True
7th Dragon III Code: VFD,2015,3DS,Role-Playing,Sega,Sega,0.04,0.0,0.12,0.0,0.17,False
Mark Davis Pro Bass Challenge,2002,PS2,Sports,Natsume,Sims,0.09,0.07,0.0,0.02,0.17,False
World Driver Championship,1999,N64,Racing,Midway Games,,0.14,0.03,0.0,0.0,0.17,False
Demon Gaze,2013,PSV,Role-Playing,Nippon Ichi Software,Experience Inc.,0.04,0.02,0.08,0.02,0.17,False
Pursuit Force: Extreme Justice,2007,PSP,Action,Sony Computer Entertainment,Bigbig Studios,0.07,0.06,0.0,0.03,0.17,False
Densetsu no Stafi 4,2006,DS,Platform,Nintendo,,0.0,0.0,0.17,0.0,0.17,False
Sword of the Samurai,,PS2,Fighting,Ubisoft,,0.0,0.0,0.17,0.0,0.17,False
Mojo!,2003,"PS2, XB",Puzzle,DreamCatcher Interactive,,0.09000000000000001,0.060000000000000005,0.0,0.02,0.17,True
Torino 2006,2006,"PS2, XB",Sports,Take-Two Interactive,,0.09,0.060000000000000005,0.0,0.02,0.17,True
Hanjuku Eiyuu Tai 3D,2003,PS2,Role-Playing,Square Enix,,0.0,0.0,0.17,0.0,0.17,False
TOEIC Test Training DS,2007,DS,Misc,IE Institute,,0.0,0.0,0.17,0.0,0.17,False
Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,2004,GBA,Misc,Nintendo,,0.12,0.05,0.0,0.0,0.17,False
MDK2 Armageddon,2001,PS2,Shooter,Virgin Interactive,BioWare,0.08,0.07,0.0,0.02,0.17,False
ZhuZhu Puppies,2011,DS,Simulation,Activision,Activision,0.12,0.03,0.0,0.01,0.17,False
Dragon Ball GT: Game Boy Advance Video Volume 1,2004,GBA,Misc,,,0.12,0.05,0.0,0.0,0.17,False
The Secret World,2012,PC,Role-Playing,Funcom,Funcom,0.07,0.08,0.0,0.02,0.17,False
Shrek Extra Large,2002,GC,Platform,TDK Mediactive,Digital Illusions,0.13,0.03,0.0,0.0,0.17,False
Fuzion Frenzy 2,2007,X360,Misc,Microsoft Game Studios,Hudson Soft,0.14,0.01,0.0,0.01,0.17,False
PlayStation Move Heroes,2011,PS3,Platform,Sony Computer Entertainment,Nihilistic,0.08,0.06,0.0,0.03,0.17,False
Gallop Racer 2001,2001,PS2,Sports,Tecmo Koei,Tecmo,0.05,0.04,0.06,0.01,0.17,False
Magical Starsign (US sales),2006,DS,Role-Playing,Nintendo,,0.14,0.02,0.0,0.0,0.17,False
Project X Zone 2: Brave New World,2015,3DS,Role-Playing,Namco Bandai Games,,0.05,0.03,0.08,0.01,0.17,False
Armor Ambush,1981,2600,Action,Mattel Interactive,,0.15,0.01,0.0,0.0,0.17,False
Shawn Johnson Gymnastics,2010,Wii,Sports,Zoo Games,Zoo Games,0.16,0.0,0.0,0.01,0.17,False
Assassin's Creed Chronicles,2016,"PS4, PSV, XOne",Action,Ubisoft,Climax Studios,0.02,0.09999999999999999,0.02,0.02,0.17,True
Thief: Deadly Shadows,2004,XB,Action,Eidos Interactive,Ion Storm,0.13,0.04,0.0,0.01,0.17,False
Sumikko Gurashi: Koko ga Ochitsukundesu,2014,3DS,Action,Nippon Columbia,,0.0,0.0,0.17,0.0,0.17,False
Cubivore: Survival of the Fittest,2002,GC,Adventure,Nintendo,Nintendo,0.01,0.0,0.15,0.0,0.17,False
Sudoku Gridmaster,2006,DS,Puzzle,Nintendo,AI,0.13,0.02,0.0,0.01,0.17,False
Bomberman B-Daman,1996,SNES,Shooter,Hudson Soft,,0.0,0.0,0.17,0.0,0.17,False
.hack//G.U. Vol.3//Redemption,2007,PS2,Role-Playing,Namco Bandai Games,,0.0,0.0,0.17,0.0,0.17,False
Street Fighter: The Movie,1995,PS,Fighting,Acclaim Entertainment,,0.1,0.07,0.0,0.01,0.17,False
"Sesame Street: Ready, Set, Grover!",2011,"DS, Wii",Misc,Warner Bros. Interactive Entertainment,,0.17,0.0,0.0,0.02,0.17,True
Buzz! Brain of the UK,2009,PS3,Misc,Sony Computer Entertainment,,0.0,0.15,0.0,0.01,0.17,False
Off-World Interceptor Extreme,1995,PS,Racing,Crystal Dynamics,,0.09,0.06,0.0,0.01,0.17,False
The Wild Thornberrys: Animal Adventures,2000,PS,Adventure,Mattel Interactive,,0.1,0.07,0.0,0.01,0.17,False
Bomberman 64: The Second Attack!,1999,N64,Adventure,Hudson Soft,,0.05,0.01,0.11,0.0,0.17,False
Gretzky NHL 2005,2004,PS2,Sports,Sony Computer Entertainment,Page 44 Studios,0.08,0.07,0.0,0.02,0.17,False
.hack//G.U. Vol.1//Rebirth,2006,PS2,Role-Playing,Namco Bandai Games,,0.0,0.0,0.17,0.0,0.17,False
Army Men: Sarge's Heroes 2,2001,PS2,Shooter,Midas Interactive Entertainment,3DO,0.09,0.07,0.0,0.02,0.17,False
Mahjong Fight Club,2004,PSP,Misc,Konami Digital Entertainment,,0.0,0.0,0.17,0.0,0.17,False
Kekkaishi: Karasumori Ayakashi Kidan,2007,DS,Action,Namco Bandai Games,,0.0,0.0,0.17,0.0,0.17,False
N3 II: Ninety-Nine Nights,2010,X360,Action,Microsoft Game Studios,,0.06,0.06,0.04,0.01,0.17,False
Sega Superstars,2004,PS2,Misc,Sega,Sonic Team,0.08,0.06,0.0,0.02,0.17,False
Naval Assault: The Killing Tide,2010,X360,Simulation,505 Games,Artech Studios,0.08,0.07,0.0,0.02,0.17,False
Don Bradman Cricket 14,2014,"PS3, PS4, XOne",Sports,Tru Blu Entertainment,Big Ant Studios,0.01,0.14,0.0,0.02,0.17,True
Gyakuten Saiban 3,2004,GBA,Adventure,Capcom,,0.0,0.0,0.16,0.0,0.17,False
Super Robot Taisen L,2010,DS,Strategy,Namco Bandai Games,,0.0,0.0,0.17,0.0,0.17,False
Gunvalkyrie,2002,XB,Shooter,Infogrames,Smilebit,0.13,0.04,0.0,0.01,0.17,False
Garfield: Lasagna World Tour,2007,PS2,Action,Blast! Entertainment Ltd,EKO Software,0.08,0.06,0.0,0.02,0.17,False
Super Robot Taisen Compact 2 Dai-1-Bu,2000,WS,Strategy,Namco Bandai Games,,0.0,0.0,0.17,0.0,0.17,False
Super Power League,1993,SNES,Sports,Hudson Soft,,0.0,0.0,0.17,0.0,0.17,False
Macross Ultimate Frontier,2009,PSP,Action,Namco Bandai Games,,0.0,0.0,0.17,0.0,0.17,False
"Crouching Tiger, Hidden Dragon",2003,"GBA, PS2, XB",Action,Ubisoft,Genki,0.09,0.060000000000000005,0.0,0.02,0.17,True
Steins;Gate 0,2015,"PS3, PS4, PSV",Adventure,PQube,5pb,0.0,0.03,0.13,0.01,0.17,True
Disney Golf,2002,PS2,Sports,Electronic Arts,T&E Soft,0.07,0.06,0.02,0.02,0.17,False
Gundam Assault Survive,2010,PSP,Action,Namco Bandai Games,,0.0,0.0,0.17,0.0,0.17,False
NASCAR '15,2015,X360,Sports,Deep Silver,DMi Games,0.15,0.0,0.0,0.02,0.17,False
World Tour Soccer 2006,2004,PS2,Sports,Sony Computer Entertainment,SCEE London Studio,0.08,0.06,0.0,0.02,0.17,False
Disney's Home on the Range,2004,GBA,Action,Disney Interactive Studios,Artificial Mind and Movement,0.12,0.04,0.0,0.0,0.17,False
Global Defence Force,2005,PS2,Shooter,Essential Games,,0.0,0.0,0.17,0.0,0.17,False
Project Spark,2014,XOne,Misc,Microsoft Game Studios,Microsoft Game Studios,0.11,0.05,0.0,0.02,0.17,False
Guilty Gear XX Accent Core Plus,2008,"PS2, PSP, Wii",Fighting,PQube,Arc System Works,0.06999999999999999,0.05,0.04,0.02,0.17,True
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),2008,PS2,Role-Playing,Atlus,,0.0,0.0,0.17,0.0,0.17,False
RollerCoaster Tycoon,2003,"PC, XB",Strategy,Atari,Atari,0.12000000000000001,0.05,0.0,0.01,0.17,True
Luxor 3,2008,Wii,Puzzle,Mumbo Jumbo,MumboJumbo,0.16,0.0,0.0,0.01,0.17,False
Mr. Do!'s Castle,1983,2600,Action,Parker Bros.,,0.15,0.01,0.0,0.0,0.17,False
Dementium: The Ward,2007,DS,Shooter,SouthPeak Games,Renegade Kid,0.15,0.01,0.0,0.01,0.17,False
Song of the Deep,2016,"PC, PS4, XOne",Action,Insomniac Games,Insomniac Games,0.14,0.0,0.0,0.02,0.17,True
ESPN Final Round Golf 2002,2001,GBA,Sports,Konami Digital Entertainment,Konami Computer Entertainment Nagoya,0.12,0.05,0.0,0.0,0.17,False
James Bond 007: Everything or Nothing,2003,GBA,Shooter,Electronic Arts,Griptonite Games,0.12,0.04,0.0,0.0,0.17,False
Ridge Racer,2011,PSV,Racing,Namco Bandai Games,"Namco Bandai Games, Cellius",0.03,0.07,0.05,0.02,0.17,False
Family Fortunes,2009,"DS, Wii",Misc,Mindscape,,0.0,0.16,0.0,0.01,0.17,True
Naruto Shippuden: Ultimate Ninja 5,2007,PS2,Fighting,Namco Bandai Games,,0.0,0.0,0.17,0.0,0.17,False
Power Pro Kun Pocket,1999,GB,Sports,Konami Digital Entertainment,,0.0,0.0,0.17,0.0,0.17,False
Tokyo Xtreme Racer,1999,DC,Racing,Genki,,0.0,0.0,0.17,0.0,0.17,False
Fancy Nancy: Tea Party Time!,2010,DS,Adventure,THQ,Webfoot Technologies,0.16,0.0,0.0,0.01,0.17,False
Yu-Gi-Oh! Zexal World Duel Carnival,2013,3DS,Misc,Konami Digital Entertainment,,0.0,0.08,0.08,0.01,0.17,False
Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,2004,GBA,Misc,,,0.12,0.04,0.0,0.0,0.17,False
I Spy: Castle,2011,DS,Puzzle,Scholastic Inc.,Gusto Games,0.16,0.0,0.0,0.01,0.17,False
NBA Inside Drive 2004,2003,XB,Sports,Microsoft Game Studios,High Voltage Software,0.13,0.04,0.0,0.01,0.17,False
Hello Kitty: Happy Party Pals,2005,GBA,Misc,THQ,,0.12,0.05,0.0,0.0,0.17,False
Time and Eternity,2012,PS3,Role-Playing,Nippon Ichi Software,"Image Epoch, Imageepoch",0.06,0.03,0.06,0.02,0.17,False
The History Channel: Great Battles - Medieval,2010,"PS3, X360",Strategy,Slitherine Software,,0.08,0.07,0.0,0.02,0.17,True
SaGa 2: Hihou Densetsu - Goddess of Destiny,2009,DS,Role-Playing,Square Enix,,0.0,0.0,0.17,0.0,0.17,False
Scaler,2004,"GC, PS2, XB",Platform,Take-Two Interactive,Artificial Mind and Movement,0.11,0.060000000000000005,0.0,0.01,0.17,True
Hunter: The Reckoning Redeemer,2003,XB,Action,Interplay,High Voltage Software,0.13,0.04,0.0,0.01,0.17,False
Turok 3: Shadow of Oblivion,2000,N64,Shooter,Acclaim Entertainment,,0.12,0.05,0.0,0.0,0.17,False
Petz: Horseshoe Ranch,2009,DS,Adventure,Ubisoft,,0.16,0.0,0.0,0.01,0.17,False
The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,2012,PSP,Action,Namco Bandai Games,,0.0,0.0,0.17,0.0,0.17,False
Sacred 3,2014,"PC, PS3, X360",Role-Playing,Deep Silver,Deep Silver,0.06,0.08,0.03,0.01,0.17,True
RC Revenge Pro,2000,PS2,Racing,Acclaim Entertainment,Acclaim,0.08,0.06,0.0,0.02,0.17,False
Jewel Match,2010,DS,Puzzle,PlayV,Joindots,0.05,0.11,0.0,0.02,0.17,False
Let's TAP,2008,Wii,Misc,Sega,Prope,0.08,0.06,0.01,0.02,0.17,False
Learning to Spell,2010,DS,Misc,505 Games,505 Games,0.16,0.0,0.0,0.01,0.17,False
Age of Empires III: Complete Collection,2009,PC,Strategy,Microsoft Game Studios,Microsoft Game Studios,0.01,0.12,0.0,0.03,0.17,False
Clock Tower II: The Struggle Within,1998,PS,Adventure,Human Entertainment,Human Entertainment,0.02,0.01,0.12,0.01,0.17,False
Camp Rock: The Final Jam,2010,DS,Misc,Disney Interactive Studios,,0.14,0.02,0.0,0.01,0.17,False
Itoi Shigesato no Bass Tsuri No. 1,1997,SNES,Sports,Nintendo,,0.0,0.0,0.17,0.0,0.17,False
Mousetrap / Operation / Simon,2005,GBA,Misc,DSI Games,,0.12,0.04,0.0,0.0,0.17,False
Resident Evil,1997,SAT,Action,Capcom,,0.0,0.0,0.17,0.0,0.17,False
Resident Evil Director's Cut: Dual Shock Edition,1997,PS,Action,Capcom,,0.0,0.0,0.16,0.01,0.17,False
Broken Sword: Shadows of the Templars - The Director's Cut,2009,DS,Adventure,Ubisoft,,0.07,0.08,0.0,0.02,0.17,False
Exhibition Volume 02,2003,XB,Misc,Microsoft Game Studios,,0.13,0.04,0.0,0.01,0.17,False
EyePet & Friends,2011,PS3,Simulation,Sony Computer Entertainment,,0.06,0.08,0.0,0.03,0.17,False
Michael Jackson: The Experience 3D,2011,3DS,Misc,Ubisoft,,0.13,0.03,0.0,0.01,0.17,False
EyeToy: Kinetic,2005,PS2,Sports,Sony Computer Entertainment,SCEE London Studio,0.09,0.07,0.0,0.02,0.17,False
Reloaded,1996,PS,Action,Gremlin Interactive Ltd,,0.09,0.06,0.0,0.01,0.17,False
Mercury Meltdown Revolution,2007,Wii,Action,Ignition Entertainment,Ignition Entertainment,0.16,0.0,0.0,0.01,0.17,False
Codename: Kids Next Door: Game Boy Advance Video Volume 1,2004,GBA,Misc,,,0.12,0.05,0.0,0.0,0.17,False
Brunswick Cosmic Bowling,2010,Wii,Sports,GameMill Entertainment,CokeM Interactive,0.16,0.0,0.0,0.01,0.17,False
Tokimeki Memorial: Private Collection,1996,PS,Misc,Konami Digital Entertainment,,0.0,0.0,0.16,0.01,0.17,False
Trauma Team,,Wii,Simulation,Unknown,Atlus,0.14,0.0,0.02,0.01,0.17,False
Beat Down: Fists of Vengeance,2005,PS2,Action,Capcom,Cavia Inc.,0.04,0.03,0.09,0.01,0.17,False
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,2005,"GC, PS2, XB",Platform,Global Star,High Voltage Software,0.09999999999999999,0.05,0.0,0.01,0.17,True
Nightmare Creatures II,2000,PS,Action,Konami Digital Entertainment,,0.09,0.06,0.0,0.01,0.17,False
Sports Illustrated for Kids: Baseball,2001,GBA,Sports,BAM! Entertainment,Sennari Interactive,0.12,0.05,0.0,0.0,0.17,False
Mega Man Network Transmission,2003,GC,Platform,Capcom,Arika,0.13,0.03,0.0,0.0,0.17,False
Final Fantasy V,1998,PS,Role-Playing,SquareSoft,,0.0,0.0,0.16,0.01,0.17,False
SEGA Bass Fishing Duel,2002,PS2,Sports,Sega,Wow Entertainment,0.09,0.07,0.0,0.02,0.17,False
Country Dance: All Stars,2012,X360,Action,GameMill Entertainment,High Voltage Software,0.16,0.0,0.0,0.01,0.17,False
WordJong Party,2008,Wii,Puzzle,Destineer,Magellan Interactive,0.16,0.0,0.0,0.01,0.17,False
VR Golf '97,1996,PS,Sports,Gremlin Interactive Ltd,,0.09,0.06,0.0,0.01,0.17,False
Lost in Blue 3,2007,DS,Adventure,Konami Digital Entertainment,Matrix Software,0.09,0.02,0.06,0.01,0.17,False
Tamagotchi no Narikiri Challenge,2010,DS,Action,Namco Bandai Games,,0.0,0.0,0.17,0.0,0.17,False
My French Coach,2007,DS,Misc,Ubisoft,Ubisoft,0.14,0.01,0.0,0.01,0.17,False
America's Next Top Model,2008,"DS, Wii",Action,Crave Entertainment,Arts Software,0.17,0.0,0.0,0.01,0.17,True
Professional Fisherman's Tour: Northern Hemisphere,2007,DS,Sports,505 Games,Starfish,0.16,0.0,0.0,0.01,0.17,False
Death Trap,1982,2600,Action,Avalon Interactive,,0.15,0.01,0.0,0.0,0.17,False
Smash Court Tennis Pro Tournament,2002,PS2,Sports,Sony Computer Entertainment,Namco,0.08,0.07,0.0,0.02,0.17,False
Time Commando,1996,PS,Action,Adeline Software,,0.1,0.07,0.0,0.01,0.17,False
Lost Kingdoms,2002,GC,Role-Playing,Activision,From Software,0.1,0.02,0.04,0.0,0.17,False
Matchbox Cross Town Heroes,2002,GBA,Racing,THQ,,0.12,0.04,0.0,0.0,0.17,False
Jillian Michaels Fitness Ultimatum 2011,2010,Wii,Sports,D3Publisher,D3Publisher,0.16,0.0,0.0,0.01,0.17,False
Sound Novel Evolution 1: Otogirisou Sosei-Hen,1999,PS,Adventure,ChunSoft,,0.0,0.0,0.16,0.01,0.17,False
Space Griffon VF-9,1995,PS,Role-Playing,Panther Software,,0.02,0.02,0.12,0.01,0.17,False
Space Battleship Yamato: Harukanaru Hoshi Iscandar,1999,PS,Strategy,Namco Bandai Games,,0.0,0.0,0.16,0.01,0.17,False
Toukiden Kiwami,2015,PS4,Action,Tecmo Koei,Koei Tecmo Games,0.05,0.07,0.02,0.02,0.17,False
Fighter Maker,1998,PS,Fighting,Agetec,,0.05,0.04,0.07,0.01,0.17,False
Race Pro,2009,X360,Racing,Atari,SimBin,0.06,0.09,0.0,0.02,0.17,False
Ringling Bros. and Barnum & Bailey: Circus Friends,2009,DS,Action,Take-Two Interactive,,0.15,0.0,0.0,0.01,0.17,False
Wolfenstein 3D,2002,GBA,Shooter,BAM! Entertainment,Stalker Entertainment,0.12,0.04,0.0,0.0,0.17,False
Mobile Suit Gundam: Extreme VS Force,2015,PSV,Action,Namco Bandai Games,Bandai Namco Games,0.0,0.0,0.17,0.0,0.17,False
Dream Pinball 3D,2008,"DS, Wii",Misc,SouthPeak Games,TopWare Interactive,0.13,0.02,0.0,0.01,0.17,True
Frogger: Helmet Chaos,2005,"DS, PSP",Platform,Konami Digital Entertainment,Konami Computer Entertainment Hawaii,0.16,0.0,0.0,0.01,0.16999999999999998,True
Scooby-Doo! Who's Watching Who?,2006,"DS, PSP",Adventure,THQ,,0.15000000000000002,0.01,0.0,0.02,0.16999999999999998,True
ShellShock 2: Blood Trails,2009,"PS3, X360",Shooter,Eidos Interactive,Rebellion,0.09,0.06,0.0,0.02,0.16999999999999998,True
Hatsune Miku: Project Diva X,2016,"PS4, PSV",Misc,Sega,Sega,0.03,0.0,0.12000000000000001,0.0,0.16999999999999998,True
Impossible Mission,2007,"DS, PSP",Platform,System 3 Arcade Software,System 3,0.11,0.04,0.0,0.02,0.16999999999999998,True
McDROID,2011,"PSP, Wii",Strategy,Namco Bandai Games,,0.0,0.0,0.16999999999999998,0.0,0.16999999999999998,True
F1 2002,2002,"GBA, GC, PS2",Racing,Electronic Arts,EA Sports,0.08,0.060000000000000005,0.02,0.01,0.16999999999999998,True
Strikers 1945,1996,"PS, SAT",Shooter,Atlus,Psikyo,0.07,0.05,0.05,0.01,0.16999999999999998,True
SD Gundam G Generation Genesis,2016,"PS4, PSV",Strategy,Namco Bandai Games,,0.0,0.0,0.16999999999999998,0.0,0.16999999999999998,True
DuckTales: Remastered,2013,"PC, PS3, WiiU, X360",Action,Capcom,WayForward,0.09999999999999999,0.04,0.0,0.02,0.16999999999999998,True
My Fitness Coach: Club,2011,"PS3, Wii",Sports,Ubisoft,,0.0,0.15000000000000002,0.0,0.03,0.16999999999999998,True
Knights in the Nightmare,2008,"DS, PSP",Role-Playing,Atlus,Sting,0.12,0.0,0.04,0.01,0.16999999999999998,True
Gladiator: Sword of Vengeance,2003,"PS2, XB",Action,Acclaim Entertainment,Acclaim Studios Manchester,0.1,0.060000000000000005,0.0,0.02,0.16999999999999998,True
Disney's PK: Out of the Shadows,2002,"GC, PS2",Platform,Ubisoft,Ubisoft,0.1,0.060000000000000005,0.0,0.02,0.16999999999999998,True
IndyCar Series,2003,"PS2, XB",Racing,Codemasters,Codemasters,0.1,0.060000000000000005,0.0,0.02,0.16999999999999998,True
Constantine,2005,"PS2, XB",Action,SCi,Bits Studios,0.09,0.05,0.0,0.01,0.16999999999999998,True
Final Fantasy XIV: Heavensward,2015,"PC, PS3, PS4",Action,Square Enix,Square Enix,0.02,0.06999999999999999,0.06999999999999999,0.01,0.16999999999999998,True
Cold Fear,2005,"PS2, XB",Action,Ubisoft,Darkworks,0.11,0.05,0.0,0.01,0.16999999999999998,True
Mr. Driller 2,2001,GBA,Puzzle,Namco Bandai Games,Namco,0.0,0.0,0.15,0.0,0.16,False
Destruction Derby 64,1999,N64,Racing,THQ,,0.13,0.03,0.0,0.0,0.16,False
Damnation,2009,"PS3, X360",Shooter,Codemasters,Blue Omega,0.13,0.02,0.0,0.02,0.16,True
Bomberman Land Touch! 2,2007,DS,Puzzle,Rising Star Games,,0.13,0.0,0.01,0.01,0.16,False
Pro Yaky? Spirits 3,2006,PS2,Sports,Konami Digital Entertainment,,0.0,0.0,0.16,0.0,0.16,False
Bomberman Land,2000,PS,Misc,Hudson Soft,,0.0,0.0,0.15,0.01,0.16,False
Castlevania Judgment,2008,Wii,Fighting,Konami Digital Entertainment,Eighting,0.12,0.02,0.01,0.01,0.16,False
To Heart 2: Dungeon Travelers,2011,"PSP, PSV",Adventure,Aqua Plus,,0.0,0.0,0.16,0.0,0.16,True
NCAA Football 09 All-Play,2008,Wii,Sports,Electronic Arts,EA Canada,0.15,0.0,0.0,0.01,0.16,False
Psychic Force,1996,PS,Fighting,Acclaim Entertainment,,0.01,0.01,0.13,0.01,0.16,False
Culdcept,2012,3DS,Misc,Nintendo,,0.0,0.0,0.16,0.0,0.16,False
Tom and Jerry in Fists of Furry,2000,N64,Fighting,Ubisoft,,0.13,0.03,0.0,0.0,0.16,False
Time Hollow,2008,DS,Adventure,Konami Digital Entertainment,Tenky,0.03,0.01,0.11,0.0,0.16,False
DS Rakubiki Jiten,2005,DS,Misc,Nintendo,,0.0,0.0,0.16,0.0,0.16,False
NASCAR Heat 2002,2002,GBA,Racing,Infogrames,Crawfish Interactive,0.12,0.04,0.0,0.0,0.16,False
True Swing Golf,2005,DS,Sports,Nintendo,T&E Soft,0.11,0.0,0.04,0.01,0.16,False
Namco Classic Fighter Collection,2008,PS2,Fighting,Namco Bandai Games,Namco Bandai Games America,0.08,0.06,0.0,0.02,0.16,False
TransFormers Animated: The Game,2008,DS,Action,Activision,Artificial Mind and Movement,0.15,0.0,0.0,0.01,0.16,False
Racing Lagoon,1999,PS,Racing,Square,,0.0,0.0,0.15,0.01,0.16,False
Toriko: Gourmet Monsters!,2012,3DS,Role-Playing,Namco Bandai Games,,0.0,0.0,0.16,0.0,0.16,False
California Speed,1999,N64,Misc,Midway Games,,0.13,0.03,0.0,0.0,0.16,False
Custom Robo Arena,2006,DS,Fighting,Nintendo,Noise Inc.,0.01,0.02,0.12,0.0,0.16,False
Buck Bumble,1998,N64,Action,Ubisoft,,0.13,0.03,0.0,0.0,0.16,False
N2O: Nitrous Oxide,1998,PS,Racing,Gremlin Interactive Ltd,,0.09,0.06,0.0,0.01,0.16,False
Vegas Party,,Wii,Misc,Unknown,Storm City Games,0.15,0.0,0.0,0.01,0.16,False
Vehicular Combat League presents Motor Mayhem,2001,PS2,Racing,Atari,,0.08,0.06,0.0,0.02,0.16,False
Pursuit Force,2005,PSP,Racing,Sony Computer Entertainment,Bigbig Studios,0.14,0.01,0.0,0.01,0.16,False
Culdcept SAGA,2006,X360,Role-Playing,Namco Bandai Games,"Omiya Soft, Jamsworks",0.12,0.0,0.03,0.01,0.16,False
Tom and Jerry: Infurnal Escape,2003,GBA,Action,Ubisoft,,0.12,0.04,0.0,0.0,0.16,False
Casper: Spirit Dimensions,2001,"GC, PS2",Platform,TDK Mediactive,Lucky Chicken,0.09000000000000001,0.05,0.0,0.02,0.16,True
Stronghold 3,2011,PC,Strategy,,FireFly Studios,0.06,0.1,0.0,0.0,0.16,False
Fighters Destiny,1998,N64,Fighting,Ocean,,0.13,0.03,0.0,0.0,0.16,False
Fatal Frame II: Crimson Butterfly,2003,PS2,Action,Ubisoft,Tecmo,0.08,0.06,0.0,0.02,0.16,False
Yu-Gi-Oh! 5D's Tag Force 6,2011,PSP,Strategy,Konami Digital Entertainment,,0.0,0.0,0.16,0.0,0.16,False
Imagine: Music Fest,2009,DS,Simulation,Ubisoft,Ubisoft,0.14,0.0,0.0,0.01,0.16,False
Wonder Project J2: Koruro no Mori no Josette,1996,N64,Simulation,Enix Corporation,,0.0,0.0,0.12,0.04,0.16,False
Imagine: Ice Champions,2007,DS,Sports,Spike,Digital Kids,0.15,0.0,0.0,0.01,0.16,False
Ferrari Challenge Trofeo Pirelli,2008,"PS2, PS3",Racing,System 3 Arcade Software,Eutechnyx,0.06,0.08,0.0,0.03,0.16,True
Field Commander,2006,PSP,Strategy,Sony Online Entertainment,"Sony Online Entertainment, Mind Control Software",0.14,0.0,0.0,0.01,0.16,False
Medieval Games,2009,Wii,Action,Vir2L Studios,N-Fusion Interactive Entertainment Corp.,0.14,0.01,0.0,0.01,0.16,False
Young Justice: Legacy,2013,"3DS, PS3, Wii, X360",Action,Namco Bandai Games,Freedom Factory Studios,0.09,0.05,0.0,0.02,0.16,True
Alias,2004,"PS2, XB",Action,Acclaim Entertainment,Acclaim Studios Cheltenham,0.09,0.05,0.0,0.01,0.16,True
Finding Nemo: Escape to the Big Blue,2006,DS,Action,THQ,Altron,0.12,0.03,0.0,0.01,0.16,False
PhotoKano,2012,"PSP, PSV",Adventure,Kadokawa Shoten,,0.0,0.0,0.16,0.0,0.16,True
Take A Break's: Puzzle Master,2009,DS,Puzzle,Ubisoft,,0.0,0.15,0.0,0.01,0.16,False
Tak: Mojo Mistake,2008,DS,Action,THQ,THQ,0.15,0.0,0.0,0.01,0.16,False
Taito Legends,2005,"PS2, XB",Misc,Empire Interactive,Empire Oxford,0.1,0.05,0.0,0.01,0.16,True
Ford Racing 3,2005,"DS, GBA",Racing,Zoo Digital Publishing,Visual Impact,0.13,0.02,0.0,0.01,0.16,True
Our House,2009,DS,Strategy,Majesco Entertainment,BudCat,0.15,0.0,0.0,0.01,0.16,False
Robotech: Invasion,2004,"PS2, XB",Shooter,Global Star,Vicious Cycle,0.09,0.05,0.0,0.01,0.16,True
